Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		36100	89100		0.671000	
		36117	89200		0.673000	
		36141	89300		0.682000	
		36162	89400		0.691000	
		36184	89500		0.700000	
		36208	89600		0.686000	
		36231	89700		0.681000	
		36245	89800		0.685000	
		36267	89900		0.640000	
		36280	90000		0.622000	
		36300	90100		0.606000	
		36322	90200		0.669000	
		36350	90300		0.675000	
		36373	90400		0.688000	
		36394	90500		0.709000	
		36416	90600		0.701000	
		36439	90700		0.715000	
		36458	90800		0.727000	
		36477	90900		0.683000	
		36499	91000		0.706000	
		36518	91100		0.714000	
		36540	91200		0.661000	
		36564	91300		0.658000	
		36579	91400		0.634000	
		36608	91500		0.645000	
		36629	91600		0.673000	
		36643	91700		0.690000	
		36672	91800		0.736000	
		36700	91900		0.749000	
		36730	92000		0.760000	
		36747	92100		0.718000	
		36766	92200		0.695000	
		36785	92300		0.652000	
		36801	92400		0.644000	
		36823	92500		0.604000	
		36844	92600		0.572000	
		36872	92700		0.557000	
		36893	92800		0.504000	
		36912	92900		0.497000	
		36933	93000		0.471000	
		36950	93100		0.497000	
		36970	93200		0.496000	
		37000	93300		0.639000	
		37015	93400		0.640000	
		37032	93500		0.624000	
		37057	93600		0.642000	
		37082	93700		0.646000	
		37107	93800		0.690000	
		37127	93900		0.693000	
		37153	94000		0.742000	
		37177	94100		0.766000	
		37195	94200		0.796000	
		37222	94300		0.687000	
		37244	94400		0.721000	
		37262	94500		0.731000	
		37288	94600		0.735000	
		37313	94700		0.738000	
		37335	94800		0.703000	
		37352	94900		0.680000	
		37374	95000		0.639000	
		37396	95100		0.643000	
		37418	95200		0.637000	
		37440	95300		0.627000	
		37462	95400		0.643000	
		37482	95500		0.646000	
		37500	95600		0.635000	
		37518	95700		0.596000	
		37542	95800		0.618000	
		37560	95900		0.630000	
		37584	96000		0.638000	
		37611	96100		0.626000	
		37627	96200		0.607000	
		37642	96300		0.601000	
