ocreval Accuracy Report Version 7.0
-----------------------------------
  314118   Characters
    4983   Errors
   98.41%  Accuracy

       9   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   98.42%  Accuracy After Correction

     Ins    Subst      Del   Errors
       1        0   {}-{(}
       1        0   {}-{*}
       1        0   {}-{9}
       1        0   {}-{C}
       1        0   {}-{O}
       1        0   {}-{R}
       1        0   {}-{T}
       1        0   {}-{U}
       1        0   {}-{V}
       1        0   {}-{\}
       1        0   {}-{a}
       1        0   {}-{b}
       1        0   {}-{f}
       1        0   {}-{k}
       1        0   {}-{n}
       1        0   {}-{r}
       1        0   {}-{s}
       1        0   {}-{£}
       1        0   {}-{°}
       1        0   {}-{¼}
       1        0   {}-{‘}
       1        0   {}-{”}
       1        0   {}-{•}
       1        0   {}-{…}
       1        0   {}-{€}
       1        0   {}}-{j}
       1        0   {}}-{}
       1        0   {©}-{c}
       1        0   {®}-{⁶}
       1        0   {®}-{⁸}
       1        0   {²}-{*}
       1        0   {²}-{³}
       1        0   {²}-{⁸}
       1        0   {³}-{⁸}
       1        0   {·}-{.}
       1        0   {·}-{=}
       1        0   {¹}-{!}
       1        0   {¹}-{’}
       1        0   {¹}-{⁴}
       1        0   {»}-{#}
       1        0   {¼}-{#}
       1        0   {¼}-{&}
       1        0   {¼}-{¥}
       1        0   {½}-{2}
       1        0   {¾}-{4}
       1        0   {’}-{³}
       1        0   {’}-{‘}
       1        0   {“}-{"}
       1        0   {”}-{’}
       1        0   {⁴}-{®}
       1        0   {⁴}-{²}
       1        0   {⁴}-{⁸}
       1        0   {⁵}-{⁹}
       1        0   {⁶}-{⁴}
       1        0   {⁶}-{⁹}
       1        0   {⁷}-{’}
       1        0   {⁸}-{®}
       1        0   {⁹}-{⁵}
       1        0   {€}-{£}

   Count   Missed   %Right
    3790        1    99.97   {<\n>}
   42956      253    99.41   { }
     126        1    99.21   {!}
     252       19    92.46   {"}
     126        1    99.21   {#}
      63        5    92.06   {$}
     189       15    92.06   {%}
     630       49    92.22   {'}
    1197        1    99.92   {(}
    1197        1    99.92   {)}
     315        8    97.46   {*}
     819        1    99.88   {+}
    2646        5    99.81   {,}
    4725     2326    50.77   {-}
    4158       95    97.72   {.}
     945       64    93.23   {/}
    2646       16    99.40   {0}
    2331       16    99.31   {1}
    1197        1    99.92   {2}
    1197        0   100.00   {3}
    1071        5    99.53   {4}
     882        0   100.00   {5}
     504        1    99.80   {6}
     693        2    99.71   {7}
    1008        4    99.60   {8}
     882        7    99.21   {9}
    2016        5    99.75   {:}
     252        1    99.60   {;}
     693        2    99.71   {=}
     504        0   100.00   {>}
     189        2    98.94   {?}
     126        3    97.62   {@}
    5607        5    99.91   {A}
    2079        0   100.00   {B}
    3906        5    99.87   {C}
    3213        1    99.97   {D}
    7812        5    99.94   {E}
    1890        4    99.79   {F}
    2520        3    99.88   {G}
    2835        1    99.96   {H}
    5733       46    99.20   {I}
     504        4    99.21   {J}
     819        0   100.00   {K}
    3213       24    99.25   {L}
    2457        0   100.00   {M}
    4473        0   100.00   {N}
    5355       10    99.81   {O}
    2268        0   100.00   {P}
     189        0   100.00   {Q}
    4599        1    99.98   {R}
    6363        5    99.92   {S}
    4851        8    99.84   {T}
    3150        4    99.87   {U}
    1323        0   100.00   {V}
    1323        1    99.92   {W}
     693        6    99.13   {X}
    2142        0   100.00   {Y}
     315        2    99.37   {Z}
     252        1    99.60   {[}
     378       25    93.39   {\}
     189        1    99.47   {]}
     252       18    92.86   {_}
   10584       35    99.67   {a}
    1638        0   100.00   {b}
    5922       14    99.76   {c}
    5166        4    99.92   {d}
   17955       12    99.93   {e}
    2646        2    99.92   {f}
    2961        3    99.90   {g}
    4284       15    99.65   {h}
   11844        6    99.95   {i}
     504        0   100.00   {j}
    1386        2    99.86   {k}
    5607       32    99.43   {l}
    3528        0   100.00   {m}
    8568       20    99.77   {n}
   10458       12    99.89   {o}
