ocreval Accuracy Report Version 7.0
-----------------------------------
  334062   Characters
   19809   Errors
   94.07%  Accuracy

       3   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   94.07%  Accuracy After Correction

     Ins    Subst      Del   Errors
    6767        2    99.97   {S}
    5159        2    99.96   {T}
    3350        2    99.94   {U}
    1407        0   100.00   {V}
    1407        1    99.93   {W}
     737        4    99.46   {X}
    2278        0   100.00   {Y}
     335        1    99.70   {Z}
     268        8    97.01   {[}
     402       17    95.77   {\}
     201        2    99.00   {]}
     268       13    95.15   {_}
   11256        5    99.96   {a}
    1742        0   100.00   {b}
    6298        6    99.90   {c}
    5494        3    99.95   {d}
   19095        3    99.98   {e}
    2814        4    99.86   {f}
    3149        0   100.00   {g}
    4556        7    99.85   {h}
   12596        8    99.94   {i}
     536        0   100.00   {j}
    1474        0   100.00   {k}
    5963       12    99.80   {l}
    3752        2    99.95   {m}
    9112        9    99.90   {n}
   11122        3    99.97   {o}
    5293        2    99.96   {p}
     134        0   100.00   {q}
   12060        1    99.99   {r}
    9112        6    99.93   {s}
   12462        8    99.94   {t}
    5427        0   100.00   {u}
    2345        8    99.66   {v}
    2479        1    99.96   {w}
    1742        6    99.66   {x}
    3685       21    99.43   {y}
     402        1    99.75   {z}
     201        0   100.00   {{}
     536        5    99.07   {|}
     268        5    98.13   {}}
     134        5    96.27   {¢}
     201        0   100.00   {£}
     268        7    97.39   {¥}
     201        8    96.02   {§}
     201        5    97.51   {©}
     201        0   100.00   {«}
     268        9    96.64   {®}
     201        4    98.01   {°}
     402        3    99.25   {²}
     804       49    93.91   {³}
     201       16    92.04   {·}
     201       66    67.16   {¹}
     201        1    99.50   {»}
     804        3    99.63   {¼}
     134        9    93.28   {½}
     134        3    97.76   {¾}
     268       16    94.03   {—}
     134        5    96.27   {‘}
     134       57    57.46   {’}
     268       14    94.78   {“}
     335       73    78.21   {”}
     134        1    99.25   {•}
     134       94    29.85   {…}
     268      106    60.45   {⁰}
     201       21    89.55   {⁴}
     134       72    46.27   {⁵}
     134        7    94.78   {⁶}
     134       31    76.87   {⁷}
     201       46    77.11   {⁸}
     134       31    76.87   {⁹}
     134        3    97.76   {€}
     134        0   100.00   {₹}
     268        0   100.00   {™}
